Season,Player Name,Conference,Date,Team,Pos,Height,Weight,Age,PreDraftTeam,DraftYear,YOS
2013-2014,LeBron James,East,2-Dec-13,Miami Heat,F,8-Jun,250,29,St. Vincent St. Mary High School (Ohio),2003,10
2013-2014,Kevin Durant,West,2-Dec-13,Oklahoma City Thunder,SF,9-Jun,240,25,Texas,2007,6
2013-2014,John Wall,East,25-Nov-13,Washington Wizards,PG,4-Jun,210,23,Kentucky,2010,3
2013-2014,LaMarcus Aldridge,West,25-Nov-13,Portland Trail Blazers,FC,11-Jun,260,28,Texas,2006,7
2013-2014,LeBron James,East,18-Nov-13,Miami Heat,F,8-Jun,250,29,St. Vincent St. Mary High School (Ohio),2003,10
2013-2014,Blake Griffin,West,18-Nov-13,Los Angeles Clippers,PF,10-Jun,250,24,Oklahoma,2009,4
2013-2014,Paul George,East,11-Nov-13,Indiana Pacers,GF,9-Jun,220,23,Fresno State,2010,3
2013-2014,Markieff Morris,West,11-Nov-13,Phoenix Suns,PF,10-Jun,245,24,Kansas,2011,2
2013-2014,Michael Carter-Williams,East,4-Nov-13,Philadelphia Sixers,PG,6-Jun,190,22,Syracuse,2013,0
2013-2014,Kevin Love,West,4-Nov-13,Minnesota Timberwolves,FC,10-Jun,251,25,UCLA,2008,5
2012-2013,Carmelo Anthony,East,15-Apr-13,New York Knicks,F,8-Jun,240,28,Syracuse,2003,9
2012-2013,Kobe Bryant,West,15-Apr-13,Los Angeles Lakers,SG,6-Jun,212,34,Lower Merion High School (Pennsylvania),1996,16
2012-2013,Carmelo Anthony,East,8-Apr-13,New York Knicks,F,8-Jun,240,28,Syracuse,2003,9
2012-2013,Nikola Pekovic,West,8-Apr-13,Minnesota Timberwolves,PF,11-Jun,307,27,Panathinaikos (Greece),2008,2
2012-2013,J.R. Smith,East,1-Apr-13,New York Knicks,SG,6-Jun,225,27,Saint Benedict's Preparatory School (New Jersey),2004,8
2012-2013,Al Jefferson,West,1-Apr-13,Utah Jazz,FC,10-Jun,289,28,Prentiss High School (Mississippi),2004,8
2012-2013,LeBron James,East,25-Mar-13,Miami Heat,F,8-Jun,250,28,St. Vincent St. Mary High School (Ohio),2003,9
2012-2013,James Harden,West,25-Mar-13,Houston Rockets,SG,5-Jun,220,23,Arizona State,2009,3
2012-2013,John Wall,East,18-Mar-13,Washington Wizards,PG,4-Jun,210,22,Kentucky,2010,2
2012-2013,LaMarcus Aldridge,West,18-Mar-13,Portland Trail Blazers,FC,11-Jun,260,27,Texas,2006,6
2012-2013,Dwyane Wade,East,11-Mar-13,Miami Heat,SG,4-Jun,220,31,Marquette,2003,9
2012-2013,Kobe Bryant,West,11-Mar-13,Los Angeles Lakers,SG,6-Jun,212,34,Lower Merion High School (Pennsylvania),1996,16
2012-2013,Monta Ellis,East,4-Mar-13,Milwaukee Bucks,G,3-Jun,185,27,Lanier High School (Mississippi),2005,7
2012-2013,Ty Lawson,West,4-Mar-13,Denver Nuggets,PG,11-May,195,25,North Carolina,2009,3
2012-2013,LeBron James,East,25-Feb-13,Miami Heat,F,8-Jun,250,28,St. Vincent St. Mary High School (Ohio),2003,9
2012-2013,Kobe Bryant,West,25-Feb-13,Los Angeles Lakers,SG,6-Jun,212,34,Lower Merion High School (Pennsylvania),1996,16
2012-2013,LeBron James,East,11-Feb-13,Miami Heat,F,8-Jun,250,28,St. Vincent St. Mary High School (Ohio),2003,9
2012-2013,Russell Westbrook,West,11-Feb-13,Oklahoma City Thunder,G,3-Jun,200,24,UCLA,2008,4
2012-2013,Nate Robinson,East,4-Feb-13,Chicago Bulls,G,9-May,180,28,Washington,2005,7
2012-2013,David Lee,West,4-Feb-13,Golden State Warriors,FC,9-Jun,245,29,Florida,2005,7
2012-2013,Kyrie Irving,East,28-Jan-13,Cleveland Cavaliers,G,3-Jun,193,20,Duke,2011,1
2012-2013,Tony Parker,West,28-Jan-13,San Antonio Spurs,G,2-Jun,185,30,Paris Basket Racing (France),2001,11
2012-2013,Carlos Boozer,East,21-Jan-13,Chicago Bulls,PF,9-Jun,266,31,Duke,2002,10
2012-2013,Kevin Durant,West,21-Jan-13,Oklahoma City Thunder,SF,9-Jun,240,24,Texas,2007,5
2012-2013,Brandon Jennings,East,14-Jan-13,Milwaukee Bucks,G,1-Jun,170,23,Virtus Roma (Italy),2009,3
2012-2013,Kevin Durant,West,14-Jan-13,Oklahoma City Thunder,SF,9-Jun,240,24,Texas,2007,5
2012-2013,Carmelo Anthony,East,7-Jan-13,New York Knicks,F,8-Jun,240,28,Syracuse,2003,9
2012-2013,James Harden,West,7-Jan-13,Houston Rockets,SG,5-Jun,220,23,Arizona State,2009,3
2012-2013,Monta Ellis,East,31-Dec-12,Milwaukee Bucks,G,3-Jun,185,27,Lanier High School (Mississippi),2005,7
2012-2013,Greivis Vasquez,West,31-Dec-12,New Orleans Hornets,G,6-Jun,217,26,Maryland,2010,2
2012-2013,LeBron James,East,24-Dec-12,Miami Heat,F,8-Jun,250,28,St. Vincent St. Mary High School (Ohio),2003,9
2012-2013,Chris Paul,West,24-Dec-12,Los Angeles Clippers,PG,Jun-00,175,27,Wake Forest,2005,7
2012-2013,Paul George,East,17-Dec-12,Indiana Pacers,GF,9-Jun,220,22,Fresno State,2010,2
2012-2013,David Lee,West,17-Dec-12,Golden State Warriors,FC,9-Jun,245,29,Florida,2005,7
2012-2013,Josh Smith,East,10-Dec-12,Atlanta Hawks,PF,9-Jun,225,27,Oak Hill Academy (Virginia),2004,8
2012-2013,Blake Griffin,West,10-Dec-12,Los Angeles Clippers,PF,10-Jun,250,23,Oklahoma,2009,3
2012-2013,Carmelo Anthony,East,3-Dec-12,New York Knicks,F,8-Jun,240,28,Syracuse,2003,9
2012-2013,Kevin Durant,West,3-Dec-12,Oklahoma City Thunder,SF,9-Jun,240,24,Texas,2007,5
2012-2013,Al Horford,East,26-Nov-12,Atlanta Hawks,FC,10-Jun,245,26,Florida,2007,5
2012-2013,Tim Duncan,West,26-Nov-12,San Antonio Spurs,FC,11-Jun,250,36,Wake Forest,1997,15
2012-2013,LeBron James,East,19-Nov-12,Miami Heat,F,8-Jun,250,28,St. Vincent St. Mary High School (Ohio),2003,9
2012-2013,Kevin Durant,West,19-Nov-12,Oklahoma City Thunder,SF,9-Jun,240,24,Texas,2007,5
2012-2013,LeBron James,East,12-Nov-12,Miami Heat,F,8-Jun,250,28,St. Vincent St. Mary High School (Ohio),2003,9
2012-2013,Kenneth Faried,West,12-Nov-12,Denver Nuggets,F,8-Jun,220,23,Morehead State,2011,1
2012-2013,Brandon Jennings,East,5-Nov-12,Milwaukee Bucks,G,1-Jun,170,23,Virtus Roma (Italy),2009,3
2012-2013,James Harden,West,5-Nov-12,Houston Rockets,SG,5-Jun,220,23,Arizona State,2009,3
2011-2012,LeBron James,East,23-Apr-12,Miami Heat,F,8-Jun,250,27,St. Vincent St. Mary High School (Ohio),2003,8
2011-2012,Al Jefferson,West,23-Apr-12,Utah Jazz,FC,10-Jun,289,27,Prentiss High School (Mississippi),2004,7
2011-2012,Kevin Garnett,East,16-Apr-12,Boston Celtics,PF,11-Jun,240,35,Farragut Career Academy (Illinois),1995,16
2011-2012,Andrew Bynum,West,16-Apr-12,Los Angeles Lakers,C,Jul-00,285,24,St. Joseph High School (New Jersey),2005,6
2011-2012,LeBron James,East,9-Apr-12,Miami Heat,F,8-Jun,250,27,St. Vincent St. Mary High School (Ohio),2003,8
2011-2012,Goran Dragic,West,9-Apr-12,Houston Rockets,G,3-Jun,190,25,Union Olimpija (Slovenia),2008,3
2011-2012,Paul Pierce,East,2-Apr-12,Boston Celtics,SF,7-Jun,235,34,Kansas,1998,13
2011-2012,Chris Paul,West,2-Apr-12,Los Angeles Clippers,PG,Jun-00,175,26,Wake Forest,2005,6
2011-2012,Joe Johnson,East,26-Mar-12,Atlanta Hawks,SG,7-Jun,240,30,Arkansas,2001,10
2011-2012,Kevin Durant,West,26-Mar-12,Oklahoma City Thunder,SF,9-Jun,240,23,Texas,2007,4
2011-2012,Drew Gooden,East,19-Mar-12,Milwaukee Bucks,FC,10-Jun,250,30,Kansas,2002,9
2011-2012,Andrew Bynum,West,19-Mar-12,Los Angeles Lakers,C,Jul-00,285,24,St. Joseph High School (New Jersey),2005,6
2011-2012,Ersan Ilyasova,East,12-Mar-12,Milwaukee Bucks,F,10-Jun,235,24,Alpella B.K. (Turkey),2005,4
2011-2012,Monta Ellis,West,12-Mar-12,Golden State Warriors,G,3-Jun,185,26,Lanier High School (Mississippi),2005,6
2011-2012,Derrick Rose,East,5-Mar-12,Chicago Bulls,PG,3-Jun,190,23,Memphis,2008,3
2011-2012,Ty Lawson,West,5-Mar-12,Denver Nuggets,PG,11-May,195,24,North Carolina,2009,2
2011-2012,LeBron James,East,20-Feb-12,Miami Heat,F,8-Jun,250,27,St. Vincent St. Mary High School (Ohio),2003,8
2011-2012,Kevin Durant,West,20-Feb-12,Oklahoma City Thunder,SF,9-Jun,240,23,Texas,2007,4
2011-2012,Jeremy Lin,East,13-Feb-12,New York Knicks,G,3-Jun,200,23,Harvard,2010,1
2011-2012,Russell Westbrook,West,13-Feb-12,Oklahoma City Thunder,G,3-Jun,200,23,UCLA,2008,3
2011-2012,Paul Pierce,East,6-Feb-12,Boston Celtics,SF,7-Jun,235,34,Kansas,1998,13
2011-2012,Tony Parker,West,6-Feb-12,San Antonio Spurs,G,2-Jun,185,29,Paris Basket Racing (France),2001,10
2011-2012,LeBron James,East,30-Jan-12,Miami Heat,F,8-Jun,250,27,St. Vincent St. Mary High School (Ohio),2003,8
2011-2012,Russell Westbrook,West,30-Jan-12,Oklahoma City Thunder,G,3-Jun,200,23,UCLA,2008,3
2011-2012,Dwight Howard,East,23-Jan-12,Orlando Magic,C,11-Jun,265,26,Southwest Atlanta Christian Academy (Georgia),2004,7
2011-2012,Marc Gasol,West,23-Jan-12,Memphis Grizzlies,C,1-Jul,255,27,Sant Josep Girona (Spain),2007,3
2011-2012,Derrick Rose,East,16-Jan-12,Chicago Bulls,PG,3-Jun,190,23,Memphis,2008,3
2011-2012,Kobe Bryant,West,16-Jan-12,Los Angeles Lakers,SG,6-Jun,212,33,Lower Merion High School (Pennsylvania),1996,15
2011-2012,LeBron James,East,9-Jan-12,Miami Heat,F,8-Jun,250,27,St. Vincent St. Mary High School (Ohio),2003,8
2011-2012,Kobe Bryant,West,9-Jan-12,Los Angeles Lakers,SG,6-Jun,212,33,Lower Merion High School (Pennsylvania),1996,15
2011-2012,LeBron James,East,3-Jan-12,Miami Heat,F,8-Jun,250,27,St. Vincent St. Mary High School (Ohio),2003,8
2011-2012,Kevin Durant,West,3-Jan-12,Oklahoma City Thunder,SF,9-Jun,240,23,Texas,2007,4
2010-2011,Carmelo Anthony,East,11-Apr-11,New York Knicks,F,8-Jun,240,26,Syracuse,2003,7
2010-2011,Kevin Durant,West,11-Apr-11,Oklahoma City Thunder,SF,9-Jun,240,22,Texas,2007,3
2010-2011,Carmelo Anthony,East,4-Apr-11,New York Knicks,F,8-Jun,240,26,Syracuse,2003,7
2010-2011,Zach Randolph,West,4-Apr-11,Memphis Grizzlies,PF,9-Jun,260,29,Michigan State,2001,9
2010-2011,Dwight Howard,East,28-Mar-11,Orlando Magic,C,11-Jun,265,25,Southwest Atlanta Christian Academy (Georgia),2004,6
2010-2011,Kobe Bryant,West,28-Mar-11,Los Angeles Lakers,SG,6-Jun,212,32,Lower Merion High School (Pennsylvania),1996,14
2010-2011,LeBron James,East,21-Mar-11,Miami Heat,F,8-Jun,250,26,St. Vincent St. Mary High School (Ohio),2003,7
2010-2011,Kyle Lowry,West,21-Mar-11,Houston Rockets,PG,1-Jun,196,24,Villanova,2006,4
2010-2011,Dwyane Wade,East,14-Mar-11,Miami Heat,SG,4-Jun,220,29,Marquette,2003,7
2010-2011,Tony Parker,West,14-Mar-11,San Antonio Spurs,G,2-Jun,185,28,Paris Basket Racing (France),2001,9
2010-2011,Paul Pierce,East,7-Mar-11,Boston Celtics,SF,7-Jun,235,33,Kansas,1998,12
2010-2011,Russell Westbrook,West,7-Mar-11,Oklahoma City Thunder,G,3-Jun,200,22,UCLA,2008,2
2010-2011,Dwight Howard,East,28-Feb-11,Orlando Magic,C,11-Jun,265,25,Southwest Atlanta Christian Academy (Georgia),2004,6
2010-2011,Kevin Martin,West,28-Feb-11,Houston Rockets,SG,7-Jun,199,28,Western Carolina,2004,6
2010-2011,Dwight Howard,East,14-Feb-11,Orlando Magic,C,11-Jun,265,25,Southwest Atlanta Christian Academy (Georgia),2004,6
2010-2011,LaMarcus Aldridge,West,14-Feb-11,Portland Trail Blazers,FC,11-Jun,260,25,Texas,2006,4
2010-2011,LeBron James,East,7-Feb-11,Miami Heat,F,8-Jun,250,26,St. Vincent St. Mary High School (Ohio),2003,7
2010-2011,Kevin Durant,West,7-Feb-11,Oklahoma City Thunder,SF,9-Jun,240,22,Texas,2007,3
2010-2011,LeBron James,East,31-Jan-11,Miami Heat,F,8-Jun,250,26,St. Vincent St. Mary High School (Ohio),2003,7
2010-2011,Zach Randolph,West,31-Jan-11,Memphis Grizzlies,PF,9-Jun,260,29,Michigan State,2001,9
2010-2011,Dwight Howard,East,24-Jan-11,Orlando Magic,C,11-Jun,265,25,Southwest Atlanta Christian Academy (Georgia),2004,6
2010-2011,LaMarcus Aldridge,West,24-Jan-11,Portland Trail Blazers,FC,11-Jun,260,25,Texas,2006,4
2010-2011,Derrick Rose,East,18-Jan-11,Chicago Bulls,PG,3-Jun,190,22,Memphis,2008,2
2010-2011,Russell Westbrook,West,18-Jan-11,Oklahoma City Thunder,G,3-Jun,200,22,UCLA,2008,2
2010-2011,LeBron James,East,10-Jan-11,Miami Heat,F,8-Jun,250,26,St. Vincent St. Mary High School (Ohio),2003,7
2010-2011,Zach Randolph,West,10-Jan-11,Memphis Grizzlies,PF,9-Jun,260,29,Michigan State,2001,9
2010-2011,Dwyane Wade,East,3-Jan-11,Miami Heat,SG,4-Jun,220,29,Marquette,2003,7
2010-2011,Chauncey Billups,West,3-Jan-11,Denver Nuggets,G,3-Jun,210,34,Colorado,1997,13
2010-2011,LeBron James,East,27-Dec-10,Miami Heat,F,8-Jun,250,26,St. Vincent St. Mary High School (Ohio),2003,7
2010-2011,Monta Ellis,West,27-Dec-10,Golden State Warriors,G,3-Jun,185,25,Lanier High School (Mississippi),2005,5
2010-2011,Paul Pierce,East,20-Dec-10,Boston Celtics,SF,7-Jun,235,33,Kansas,1998,12
2010-2011,Tony Parker,West,20-Dec-10,San Antonio Spurs,G,2-Jun,185,28,Paris Basket Racing (France),2001,9
2010-2011,Dwyane Wade,East,13-Dec-10,Miami Heat,SG,4-Jun,220,29,Marquette,2003,7
2010-2011,Dirk Nowitzki,West,13-Dec-10,Dallas Mavericks,PF,Jul-00,245,32,DJK Wurzburg (Germany),1998,12
2010-2011,Amar'e Stoudemire,East,6-Dec-10,New York Knicks,FC,10-Jun,245,28,Cypress Creek High School (Florida),2002,8
2010-2011,Russell Westbrook,West,6-Dec-10,Oklahoma City Thunder,G,3-Jun,200,22,UCLA,2008,2
2010-2011,Dwight Howard,East,29-Nov-10,Orlando Magic,C,11-Jun,265,25,Southwest Atlanta Christian Academy (Georgia),2004,6
2010-2011,Dirk Nowitzki,West,29-Nov-10,Dallas Mavericks,PF,Jul-00,245,32,DJK Wurzburg (Germany),1998,12
2010-2011,Amar'e Stoudemire,East,22-Nov-10,New York Knicks,FC,10-Jun,245,28,Cypress Creek High School (Florida),2002,8
2010-2011,Russell Westbrook,West,22-Nov-10,Oklahoma City Thunder,G,3-Jun,200,22,UCLA,2008,2
2010-2011,Derrick Rose,East,15-Nov-10,Chicago Bulls,PG,3-Jun,190,22,Memphis,2008,2
2010-2011,Deron Williams,West,15-Nov-10,Utah Jazz,PG,3-Jun,200,26,Illinois,2005,5
2010-2011,Dwight Howard,East,8-Nov-10,Orlando Magic,C,11-Jun,265,25,Southwest Atlanta Christian Academy (Georgia),2004,6
2010-2011,Chris Paul,West,8-Nov-10,New Orleans Hornets,PG,Jun-00,175,25,Wake Forest,2005,5
2010-2011,Rajon Rondo,East,1-Nov-10,Boston Celtics,PG,1-Jun,186,25,Kentucky,2006,4
2010-2011,Pau Gasol,West,1-Nov-10,Los Angeles Lakers,FC,Jul-00,250,30,FC Barcelona Lassa (Spain),2001,9
2009-2010,Dwight Howard,East,12-Apr-10,Orlando Magic,C,11-Jun,265,24,Southwest Atlanta Christian Academy (Georgia),2004,5
2009-2010,Dirk Nowitzki,West,12-Apr-10,Dallas Mavericks,PF,Jul-00,245,31,DJK Wurzburg (Germany),1998,11
2009-2010,Chris Bosh,East,5-Apr-10,Toronto Raptors,PF,11-Jun,235,25,Georgia Tech,2003,6
2009-2010,Kevin Durant,West,5-Apr-10,Oklahoma City Thunder,SF,9-Jun,240,21,Texas,2007,2
2009-2010,Dwyane Wade,East,29-Mar-10,Miami Heat,SG,4-Jun,220,28,Marquette,2003,6
2009-2010,Manu Ginobili,West,29-Mar-10,San Antonio Spurs,SG,6-Jun,205,32,Viola Reggio Calabria (Italy),1999,7
2009-2010,Paul Pierce,East,22-Mar-10,Boston Celtics,SF,7-Jun,235,32,Kansas,1998,11
2009-2010,Pau Gasol,West,22-Mar-10,Los Angeles Lakers,FC,Jul-00,250,29,FC Barcelona Lassa (Spain),2001,8
2009-2010,Andrew Bogut,East,15-Mar-10,Milwaukee Bucks,C,Jul-00,260,25,Utah,2005,4
2009-2010,Brandon Roy,West,15-Mar-10,Portland Trail Blazers,G,6-Jun,211,25,Washington,2006,3
2009-2010,Dwyane Wade,East,8-Mar-10,Miami Heat,SG,4-Jun,220,28,Marquette,2003,6
2009-2010,Dirk Nowitzki,West,8-Mar-10,Dallas Mavericks,PF,Jul-00,245,31,DJK Wurzburg (Germany),1998,11
2009-2010,LeBron James,East,1-Mar-10,Cleveland Cavaliers,F,8-Jun,250,25,St. Vincent St. Mary High School (Ohio),2003,6
2009-2010,Dirk Nowitzki,West,1-Mar-10,Dallas Mavericks,PF,Jul-00,245,31,DJK Wurzburg (Germany),1998,11
2009-2010,Dwight Howard,East,22-Feb-10,Orlando Magic,C,11-Jun,265,24,Southwest Atlanta Christian Academy (Georgia),2004,5
2009-2010,Carlos Boozer,West,22-Feb-10,Utah Jazz,PF,9-Jun,266,28,Duke,2002,7
2009-2010,LeBron James,East,8-Feb-10,Cleveland Cavaliers,F,8-Jun,250,25,St. Vincent St. Mary High School (Ohio),2003,6
2009-2010,Russell Westbrook,West,8-Feb-10,Oklahoma City Thunder,G,3-Jun,200,21,UCLA,2008,1
2009-2010,Chris Bosh,East,1-Feb-10,Toronto Raptors,PF,11-Jun,235,25,Georgia Tech,2003,6
2009-2010,Kevin Durant,West,1-Feb-10,Oklahoma City Thunder,SF,9-Jun,240,21,Texas,2007,2
2009-2010,LeBron James,East,25-Jan-10,Cleveland Cavaliers,F,8-Jun,250,25,St. Vincent St. Mary High School (Ohio),2003,6
2009-2010,Chauncey Billups,West,25-Jan-10,Denver Nuggets,G,3-Jun,210,33,Colorado,1997,12
2009-2010,Stephen Jackson,East,19-Jan-10,Charlotte Bobcats,GF,8-Jun,220,31,Butler CC,1997,12
2009-2010,Carmelo Anthony,West,19-Jan-10,Denver Nuggets,F,8-Jun,240,25,Syracuse,2003,6
2009-2010,LeBron James,East,11-Jan-10,Cleveland Cavaliers,F,8-Jun,250,25,St. Vincent St. Mary High School (Ohio),2003,6
2009-2010,Chris Kaman,East,11-Jan-10,Los Angeles Clippers,C,Jul-00,265,27,Central Michigan,2003,6
2009-2010,Derrick Rose,East,4-Jan-10,Chicago Bulls,PG,3-Jun,190,21,Memphis,2008,1
2009-2010,Kevin Durant,West,4-Jan-10,Oklahoma City Thunder,SF,9-Jun,240,21,Texas,2007,2
2009-2010,LeBron James,East,28-Dec-09,Cleveland Cavaliers,F,8-Jun,250,25,St. Vincent St. Mary High School (Ohio),2003,6
2009-2010,Kobe Bryant,West,28-Dec-09,Los Angeles Lakers,SG,6-Jun,212,31,Lower Merion High School (Pennsylvania),1996,13
2009-2010,Dwight Howard,East,21-Dec-09,Orlando Magic,C,11-Jun,265,24,Southwest Atlanta Christian Academy (Georgia),2004,5
2009-2010,Kobe Bryant,West,21-Dec-09,Los Angeles Lakers,SG,6-Jun,212,31,Lower Merion High School (Pennsylvania),1996,13
2009-2010,Rodney Stuckey,East,14-Dec-09,Detroit Pistons,G,5-Jun,205,23,Eastern Washington,2007,2
2009-2010,Deron Williams,West,14-Dec-09,Utah Jazz,PG,3-Jun,200,25,Illinois,2005,4
2009-2010,Kevin Garnett,East,7-Dec-09,Boston Celtics,PF,11-Jun,240,33,Farragut Career Academy (Illinois),1995,14
2009-2010,Carlos Boozer,West,7-Dec-09,Utah Jazz,PF,9-Jun,266,28,Duke,2002,7
2009-2010,Gerald Wallace,East,30-Nov-09,Charlotte Bobcats,F,7-Jun,220,27,Alabama,2001,8
2009-2010,Tim Duncan,West,30-Nov-09,San Antonio Spurs,FC,11-Jun,250,33,Wake Forest,1997,12
2009-2010,LeBron James,East,23-Nov-09,Cleveland Cavaliers,F,8-Jun,250,25,St. Vincent St. Mary High School (Ohio),2003,6
2009-2010,Kobe Bryant,West,23-Nov-09,Los Angeles Lakers,SG,6-Jun,212,31,Lower Merion High School (Pennsylvania),1996,13
2009-2010,Brandon Jennings,East,16-Nov-09,Milwaukee Bucks,G,1-Jun,170,20,Virtus Roma (Italy),2009,0
2009-2010,Dirk Nowitzki,West,16-Nov-09,Dallas Mavericks,PF,Jul-00,245,31,DJK Wurzburg (Germany),1998,11
2009-2010,Joe Johnson,East,9-Nov-09,Atlanta Hawks,SG,7-Jun,240,28,Arkansas,2001,8
2009-2010,Chris Kaman,West,9-Nov-09,Los Angeles Clippers,C,Jul-00,265,27,Central Michigan,2003,6
2009-2010,Dwight Howard,East,2-Nov-09,Orlando Magic,C,11-Jun,265,24,Southwest Atlanta Christian Academy (Georgia),2004,5
2009-2010,Carmelo Anthony,West,2-Nov-09,Denver Nuggets,F,8-Jun,240,25,Syracuse,2003,6
2008-2009,Ben Gordon,East,13-Apr-09,Chicago Bulls,SG,3-Jun,200,25,Connecticut,2004,4
2008-2009,Brandon Roy,West,13-Apr-09,Portland Trail Blazers,G,6-Jun,211,24,Washington,2006,2
2008-2009,Dwight Howard,East,6-Apr-09,Orlando Magic,C,11-Jun,265,23,Southwest Atlanta Christian Academy (Georgia),2004,4
2008-2009,Jason Kidd,West,6-Apr-09,Dallas Mavericks,PG,4-Jun,210,35,California,1994,14
2008-2009,Dwight Howard,East,30-Mar-09,Orlando Magic,C,11-Jun,265,23,Southwest Atlanta Christian Academy (Georgia),2004,4
2008-2009,Tony Parker,West,30-Mar-09,San Antonio Spurs,G,2-Jun,185,26,Paris Basket Racing (France),2001,7
2008-2009,LeBron James,East,23-Mar-09,Cleveland Cavaliers,F,8-Jun,250,24,St. Vincent St. Mary High School (Ohio),2003,5
2008-2009,Chris Paul,West,23-Mar-09,New Orleans Hornets,PG,Jun-00,175,23,Wake Forest,2005,3
2008-2009,LeBron James,East,16-Mar-09,Cleveland Cavaliers,F,8-Jun,250,24,St. Vincent St. Mary High School (Ohio),2003,5
2008-2009,Kobe Bryant,West,16-Mar-09,Los Angeles Lakers,SG,6-Jun,212,30,Lower Merion High School (Pennsylvania),1996,12
2008-2009,Dwyane Wade,East,9-Mar-09,Miami Heat,SG,4-Jun,220,27,Marquette,2003,5
2008-2009,Deron Williams,West,9-Mar-09,Utah Jazz,PG,3-Jun,200,24,Illinois,2005,3
2008-2009,Devin Harris,East,2-Mar-09,New Jersey Nets,G,3-Jun,185,26,Wisconsin,2004,4
2008-2009,David West,West,2-Mar-09,New Orleans Hornets,PF,9-Jun,250,28,Xavier,2003,5
2008-2009,Dwight Howard,East,23-Feb-09,Orlando Magic,C,11-Jun,265,23,Southwest Atlanta Christian Academy (Georgia),2004,4
2008-2009,Pau Gasol,West,23-Feb-09,Los Angeles Lakers,FC,Jul-00,250,28,FC Barcelona Lassa (Spain),2001,7
2008-2009,LeBron James,East,9-Feb-09,Cleveland Cavaliers,F,8-Jun,250,24,St. Vincent St. Mary High School (Ohio),2003,5
2008-2009,Pau Gasol,West,9-Feb-09,Los Angeles Lakers,FC,Jul-00,250,28,FC Barcelona Lassa (Spain),2001,7
2008-2009,David Lee,East,2-Feb-09,New York Knicks,FC,9-Jun,245,25,Florida,2005,3
2008-2009,Tony Parker,West,2-Feb-09,San Antonio Spurs,G,2-Jun,185,26,Paris Basket Racing (France),2001,7
2008-2009,LeBron James,East,26-Jan-09,Cleveland Cavaliers,F,8-Jun,250,24,St. Vincent St. Mary High School (Ohio),2003,5
2008-2009,Andrew Bynum,West,26-Jan-09,Los Angeles Lakers,C,Jul-00,285,21,St. Joseph High School (New Jersey),2005,3
2008-2009,Jameer Nelson,East,19-Jan-09,Orlando Magic,G,Jun-00,190,27,Saint Joseph's,2004,4
2008-2009,Chris Paul,West,19-Jan-09,New Orleans Hornets,PG,Jun-00,175,23,Wake Forest,2005,3
2008-2009,Dwight Howard,East,12-Jan-09,Orlando Magic,C,11-Jun,265,23,Southwest Atlanta Christian Academy (Georgia),2004,4
2008-2009,Kobe Bryant,West,12-Jan-09,Los Angeles Lakers,SG,6-Jun,212,30,Lower Merion High School (Pennsylvania),1996,12
2008-2009,Rodney Stuckey,East,5-Jan-09,Detroit Pistons,G,5-Jun,205,22,Eastern Washington,2007,1
2008-2009,Al Jefferson,West,5-Jan-09,Minnesota Timberwolves,FC,10-Jun,289,24,Prentiss High School (Mississippi),2004,4
2008-2009,LeBron James,East,29-Dec-08,Cleveland Cavaliers,F,8-Jun,250,24,St. Vincent St. Mary High School (Ohio),2003,5
2008-2009,Kobe Bryant,West,29-Dec-08,Los Angeles Lakers,SG,6-Jun,212,30,Lower Merion High School (Pennsylvania),1996,12
2008-2009,Jameer Nelson,East,22-Dec-08,Orlando Magic,G,Jun-00,190,27,Saint Joseph's,2004,4
2008-2009,Chris Paul,West,22-Dec-08,New Orleans Hornets,PG,Jun-00,175,23,Wake Forest,2005,3
2008-2009,Al Harrington,East,15-Dec-08,New York Knicks,F,9-Jun,245,29,St. Patrick High School (New Jersey),1998,10
2008-2009,Tim Duncan,West,15-Dec-08,San Antonio Spurs,FC,11-Jun,250,32,Wake Forest,1997,11
2008-2009,Dwyane Wade,East,8-Dec-08,Miami Heat,SG,4-Jun,220,27,Marquette,2003,5
2008-2009,Dirk Nowitzki,West,8-Dec-08,Dallas Mavericks,PF,Jul-00,245,30,DJK Wurzburg (Germany),1998,10
2008-2009,Devin Harris,East,1-Dec-08,New Jersey Nets,G,3-Jun,185,26,Wisconsin,2004,4
2008-2009,Brandon Roy,West,1-Dec-08,Portland Trail Blazers,G,6-Jun,211,24,Washington,2006,2
2008-2009,Dwyane Wade,East,24-Nov-08,Miami Heat,SG,4-Jun,220,27,Marquette,2003,5
2008-2009,Dirk Nowitzki,West,24-Nov-08,Dallas Mavericks,PF,Jul-00,245,30,DJK Wurzburg (Germany),1998,10
2008-2009,LeBron James,East,17-Nov-08,Cleveland Cavaliers,F,8-Jun,250,24,St. Vincent St. Mary High School (Ohio),2003,5
2008-2009,Chauncey Billups,West,17-Nov-08,Denver Nuggets,G,3-Jun,210,32,Colorado,1997,11
2008-2009,LeBron James,East,10-Nov-08,Cleveland Cavaliers,F,8-Jun,250,24,St. Vincent St. Mary High School (Ohio),2003,5
2008-2009,Amar'e Stoudemire,West,10-Nov-08,Phoenix Suns,FC,10-Jun,245,26,Cypress Creek High School (Florida),2002,6
2008-2009,Chris Bosh,East,3-Nov-08,Toronto Raptors,PF,11-Jun,235,24,Georgia Tech,2003,5
