Season,Player Name,Conference,Date,Team,Pos,Height,Weight,Age,PreDraftTeam,DraftYear,YOS
2017-2018,James Harden,West,4-Dec-17,Houston Rockets,SG,5-Jun,220,28,Arizona State,2009,8
2017-2018,Goran Dragic,East,27-Nov-17,Miami Heat,G,3-Jun,190,31,Union Olimpija (Slovenia),2008,9
2017-2018,Anthony Davis,West,27-Nov-17,New Orleans Pelicans,PF,10-Jun,253,24,Kentucky,2012,5
2017-2018,DeMar DeRozan,East,20-Nov-17,Toronto Raptors,GF,7-Jun,220,28,USC,2009,8
2017-2018,Karl-Anthony Towns,West,20-Nov-17,Minnesota Timberwolves,C,Jul-00,244,22,Kentucky,2015,2
2017-2018,Tobias Harris,East,13-Nov-17,Detroit Pistons,F,9-Jun,235,25,Tennessee,2011,6
2017-2018,Nikola Jokic,West,13-Nov-17,Denver Nuggets,C,Jul-00,250,23,KK Mega Bemax (Serbia),2014,2
2017-2018,Kristaps Porzingis,East,6-Nov-17,New York Knicks,FC,3-Jul,240,22,Real Betis Energia Plus (Spain),2015,2
2017-2018,James Harden,West,6-Nov-17,Houston Rockets,SG,5-Jun,220,28,Arizona State,2009,8
2017-2018,Victor Oladipo,East,30-Oct-17,Indiana Pacers,G,4-Jun,210,25,Indiana,2013,4
2017-2018,DeMarcus Cousins,West,30-Oct-17,New Orleans Pelicans,C,11-Jun,270,27,Kentucky,2010,7
2017-2018,Giannis Antetokounmpo,East,23-Oct-17,Milwaukee Bucks,F,11-Jun,242,23,Filathlitikos Div II Greece (Greece),2013,4
2017-2018,James Harden,West,23-Oct-17,Houston Rockets,SG,5-Jun,220,28,Arizona State,2009,8
2016-2017,Paul George,East,10-Apr-17,Indiana Pacers,GF,9-Jun,220,26,Fresno State,2010,6
2016-2017,Russell Westbrook,West,10-Apr-17,Oklahoma City Thunder,G,3-Jun,200,28,UCLA,2008,8
2016-2017,Jimmy Butler,East,3-Apr-17,Chicago Bulls,GF,8-Jun,236,27,Marquette,2011,5
2016-2017,Stephen Curry,West,3-Apr-17,Golden State Warriors,G,3-Jun,190,28,Davidson,2009,7
2016-2017,DeMar DeRozan,East,27-Mar-17,Toronto Raptors,GF,7-Jun,220,27,USC,2009,7
2016-2017,James Harden,West,27-Mar-17,Houston Rockets,SG,5-Jun,220,27,Arizona State,2009,7
2016-2017,Hassan Whiteside,East,20-Mar-17,Miami Heat,C,Jul-00,265,27,Marshall,2010,4
2016-2017,Damian Lillard,West,20-Mar-17,Portland Trail Blazers,G,3-Jun,195,26,Weber State,2012,4
2016-2017,John Wall,East,13-Mar-17,Washington Wizards,PG,4-Jun,210,26,Kentucky,2010,6
